,year,region,traffic_type,traffic_accidents,longitude_x,latitude_x,driving_licenses,longitude_y,latitude_y
0,2016,Makkah,No. of Casualties - Injured,12383,21.628962766,41.2636898334,136055,21.628962766,41.2636898334
1,2016,Makkah,No. of Accidents,134838,21.628962766,41.2636898334,136055,21.628962766,41.2636898334
2,2016,Makkah,No. of Casualties - Dead,2243,21.628962766,41.2636898334,136055,21.628962766,41.2636898334
3,2016,Eastern,No. of Casualties - Dead,1113,23.2883307307,50.1478302439,142307,23.2883307307,50.1478302439
4,2016,Eastern,No. of Accidents,101619,23.2883307307,50.1478302439,142307,23.2883307307,50.1478302439
5,2016,Eastern,No. of Casualties - Injured,4893,23.2883307307,50.1478302439,142307,23.2883307307,50.1478302439
6,2016,Tabouk,No. of Casualties - Dead,434,27.90165499,37.2598581394,13610,27.90165499,37.2598581394
7,2016,Tabouk,No. of Accidents,16031,27.90165499,37.2598581394,13610,27.90165499,37.2598581394
8,2016,Tabouk,No. of Casualties - Injured,1724,27.90165499,37.2598581394,13610,27.90165499,37.2598581394
9,2016,Hail,No. of Casualties - Dead,299,27.400845724,41.4406960508,54507,27.400845724,41.4406960508
10,2016,Hail,No. of Accidents,10199,27.400845724,41.4406960508,54507,27.400845724,41.4406960508
11,2016,Hail,No. of Casualties - Injured,932,27.400845724,41.4406960508,54507,27.400845724,41.4406960508
12,2016,Northern Boarder,No. of Casualties - Dead,193,30.197074783,41.8171186952,4958,30.197074783,41.8171186952
13,2016,Northern Boarder,No. of Casualties - Injured,631,30.197074783,41.8171186952,4958,30.197074783,41.8171186952
14,2016,Northern Boarder,No. of Accidents,13196,30.197074783,41.8171186952,4958,30.197074783,41.8171186952
15,2017,Jazan,No. of Accidents,22161,17.207231396199997,42.6525807422,18345,17.207231396199997,42.6525807422
16,2017,Jazan,No. of Casualties - Dead,466,17.207231396199997,42.6525807422,18345,17.207231396199997,42.6525807422
17,2017,Jazan,No. of Casualties - Injured,2207,17.207231396199997,42.6525807422,18345,17.207231396199997,42.6525807422
18,2017,Al-Jouf,No. of Accidents,10469,29.967744576199998,39.5570371172,8091,29.967744576199998,39.5570371172
19,2017,Al-Jouf,No. of Casualties - Injured,862,29.967744576199998,39.5570371172,8091,29.967744576199998,39.5570371172
20,2017,Al-Jouf,No. of Casualties - Dead,240,29.967744576199998,39.5570371172,8091,29.967744576199998,39.5570371172
21,2016,Jazan,No. of Casualties - Dead,514,17.207231396199997,42.6525807422,11504,17.207231396199997,42.6525807422
22,2016,Jazan,No. of Casualties - Injured,2259,17.207231396199997,42.6525807422,11504,17.207231396199997,42.6525807422
23,2016,Jazan,No. of Accidents,25873,17.207231396199997,42.6525807422,11504,17.207231396199997,42.6525807422
24,2016,Al-Baha,No. of Casualties - Injured,1227,20.1484058503,41.4665484892,4614,20.1484058503,41.4665484892
25,2016,Al-Baha,No. of Casualties - Dead,185,20.1484058503,41.4665484892,4614,20.1484058503,41.4665484892
26,2016,Al-Baha,No. of Accidents,3618,20.1484058503,41.4665484892,4614,20.1484058503,41.4665484892
27,2016,Al-Jouf,No. of Casualties - Injured,920,29.967744576199998,39.5570371172,9371,29.967744576199998,39.5570371172
28,2016,Al-Jouf,No. of Accidents,10212,29.967744576199998,39.5570371172,9371,29.967744576199998,39.5570371172
29,2016,Al-Jouf,No. of Casualties - Dead,245,29.967744576199998,39.5570371172,9371,29.967744576199998,39.5570371172
30,2017,Riyadh,No. of Accidents,99925,23.0814341634,45.5857512766,495307,23.0814341634,45.5857512766
31,2017,Riyadh,No. of Casualties - Injured,4540,23.0814341634,45.5857512766,495307,23.0814341634,45.5857512766
32,2017,Riyadh,No. of Casualties - Dead,1399,23.0814341634,45.5857512766,495307,23.0814341634,45.5857512766
33,2017,Madinah,No. of Casualties - Dead,580,24.927534539,39.4918237173,36165,24.927534539,39.4918237173
34,2017,Madinah,No. of Casualties - Injured,2917,24.927534539,39.4918237173,36165,24.927534539,39.4918237173
35,2017,Madinah,No. of Accidents,16070,24.927534539,39.4918237173,36165,24.927534539,39.4918237173
36,2017,Al-Qaseem,No. of Accidents,22405,26.1967063704,43.3429998455,6318,26.1967063704,43.3429998455
37,2017,Al-Qaseem,No. of Casualties - Injured,1446,26.1967063704,43.3429998455,6318,26.1967063704,43.3429998455
38,2017,Al-Qaseem,No. of Casualties - Dead,319,26.1967063704,43.3429998455,6318,26.1967063704,43.3429998455
39,2017,Eastern,No. of Accidents,81433,23.2883307307,50.1478302439,126816,23.2883307307,50.1478302439
40,2017,Eastern,No. of Casualties - Dead,963,23.2883307307,50.1478302439,126816,23.2883307307,50.1478302439
41,2017,Eastern,No. of Casualties - Injured,4073,23.2883307307,50.1478302439,126816,23.2883307307,50.1478302439
42,2017,Tabouk,No. of Accidents,11713,27.90165499,37.2598581394,10232,27.90165499,37.2598581394
43,2017,Tabouk,No. of Casualties - Injured,1243,27.90165499,37.2598581394,10232,27.90165499,37.2598581394
44,2017,Tabouk,No. of Casualties - Dead,348,27.90165499,37.2598581394,10232,27.90165499,37.2598581394
45,2017,Northern Boarder,No. of Accidents,11540,30.197074783,41.8171186952,5280,30.197074783,41.8171186952
46,2017,Northern Boarder,No. of Casualties - Dead,112,30.197074783,41.8171186952,5280,30.197074783,41.8171186952
47,2017,Northern Boarder,No. of Casualties - Injured,374,30.197074783,41.8171186952,5280,30.197074783,41.8171186952
48,2017,Najran,No. of Casualties - Dead,194,18.4511003068,46.868849572600006,13825,18.4511003068,46.868849572600006
49,2017,Najran,No. of Accidents,3193,18.4511003068,46.868849572600006,13825,18.4511003068,46.868849572600006
50,2017,Najran,No. of Casualties - Injured,766,18.4511003068,46.868849572600006,13825,18.4511003068,46.868849572600006
51,2016,Madinah,No. of Casualties - Dead,822,24.927534539,39.4918237173,24540,24.927534539,39.4918237173
52,2016,Madinah,No. of Accidents,14475,24.927534539,39.4918237173,24540,24.927534539,39.4918237173
53,2016,Madinah,No. of Casualties - Injured,4184,24.927534539,39.4918237173,24540,24.927534539,39.4918237173
54,2016,Assir,No. of Casualties - Dead,983,19.1387847401,42.941470036,41367,19.1387847401,42.941470036
55,2016,Assir,No. of Casualties - Injured,2541,19.1387847401,42.941470036,41367,19.1387847401,42.941470036
56,2016,Assir,No. of Accidents,32684,19.1387847401,42.941470036,41367,19.1387847401,42.941470036
57,2016,Riyadh,No. of Casualties - Dead,1430,23.0814341634,45.5857512766,242851,23.0814341634,45.5857512766
58,2016,Riyadh,No. of Accidents,141736,23.0814341634,45.5857512766,242851,23.0814341634,45.5857512766
59,2016,Riyadh,No. of Casualties - Injured,4207,23.0814341634,45.5857512766,242851,23.0814341634,45.5857512766
60,2016,Al-Qaseem,No. of Accidents,25664,26.1967063704,43.3429998455,9180,26.1967063704,43.3429998455
61,2016,Al-Qaseem,No. of Casualties - Injured,1513,26.1967063704,43.3429998455,9180,26.1967063704,43.3429998455
62,2016,Al-Qaseem,No. of Casualties - Dead,397,26.1967063704,43.3429998455,9180,26.1967063704,43.3429998455
63,2017,Makkah,No. of Casualties - Injured,10623,21.628962766,41.2636898334,142487,21.628962766,41.2636898334
64,2017,Makkah,No. of Casualties - Dead,1641,21.628962766,41.2636898334,142487,21.628962766,41.2636898334
65,2017,Makkah,No. of Accidents,145541,21.628962766,41.2636898334,142487,21.628962766,41.2636898334
66,2017,Assir,No. of Accidents,25245,19.1387847401,42.941470036,39133,19.1387847401,42.941470036
67,2017,Assir,No. of Casualties - Dead,828,19.1387847401,42.941470036,39133,19.1387847401,42.941470036
68,2017,Assir,No. of Casualties - Injured,2368,19.1387847401,42.941470036,39133,19.1387847401,42.941470036
69,2017,Hail,No. of Casualties - Dead,265,27.400845724,41.4406960508,22035,27.400845724,41.4406960508
70,2017,Hail,No. of Accidents,9379,27.400845724,41.4406960508,22035,27.400845724,41.4406960508
71,2017,Hail,No. of Casualties - Injured,773,27.400845724,41.4406960508,22035,27.400845724,41.4406960508
72,2016,Najran,No. of Accidents,3235,18.4511003068,46.868849572600006,2153,18.4511003068,46.868849572600006
73,2016,Najran,No. of Casualties - Dead,173,18.4511003068,46.868849572600006,2153,18.4511003068,46.868849572600006
74,2016,Najran,No. of Casualties - Injured,706,18.4511003068,46.868849572600006,2153,18.4511003068,46.868849572600006
75,2017,Al-Baha,No. of Casualties - Dead,134,20.1484058503,41.4665484892,4131,20.1484058503,41.4665484892
76,2017,Al-Baha,No. of Accidents,1414,20.1484058503,41.4665484892,4131,20.1484058503,41.4665484892
77,2017,Al-Baha,No. of Casualties - Injured,1007,20.1484058503,41.4665484892,4131,20.1484058503,41.4665484892
